用户id	投资金额	性别	首投距今时间（天）	最近一次投资距今时间（天）	本月是否有大额回款	是否访问7天内注册	是否注册7天内充值	首投距注册时长（天）	年龄_(0,14]	年龄_(14,35]	年龄_(35,60]	年龄_(60,∞]	手机城市_一线	手机城市_三线	手机城市_二线	手机城市_五线	手机城市_四线	手机城市_超一线	手机城市_魔境	会员级别_普通会员	会员级别_白金用户	会员级别_钻石用户	最近一次登录设备_HUAWEI	最近一次登录设备_OPPO	最近一次登录设备_Samsung	最近一次登录设备_Xiaomi	最近一次登录设备_iPad	最近一次登录设备_iPhone	最近一次登录设备_其他手机	用户浏览产品期限倾向(月）_1-3	用户浏览产品期限倾向(月）_4-6	用户浏览产品期限倾向(月）_7-12	用户浏览产品利率倾向_(0,4%]	用户浏览产品利率倾向_(4%,5.5%]	用户浏览产品利率倾向_(5.5%,6%]	用户浏览产品利率倾向_(6%,7.5%]	用户浏览产品利率倾向_7%以上
f88c281379e9a1c63dfaee4d9ab8cd81	72000.0	1	22.0	0.0	0	0	0	4.0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224d7986d40bc064e870d5ffbc7c5c10	1080000.0	0	11.0	0.0	1	0	1	42.0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
5fbef7d9f15ac96fb97e95bfc50856aa	21600.0	1	2.0	1.0	0	0	1	49.0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
9f641088eb3e03ce27b87e5782a600cc	21600.0	0	16.0	0.0	1	0	0	3.0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
1fe32588204893c843a754cd035286c3	7200.0	1	12.0	0.0	0	0	0	0.0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
169eeb34c34897c183a3d147e3f0d9d1	14400.0	0	2.0	1.0	0	0	1	161.0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
3e4899590a97fb1511a43cd22af070e6	46800.0	1	9.0	0.0	0	0	0	0.0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
2ecce7f61cb182c325fb1f7f433400a8	72000.0	1	2.0	1.0	1	0	1	467.0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
3277cd59f901ec1ebdcfed4bcedc2d40	756000.0	0	7.0	0.0	0	0	1	14.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
b3b89522e9f675a4279b2e955c8a435d	108000.0	1	18.0	0.0	1	0	0	4.0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
c08c77883881d0b0aa6a49b396dd8d27	14400.0	0	8.0	0.0	1	0	0	1.0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
3ba50cfac5b713f9fd0cb5db23443aa4	561600.0	1	13.0	0.0	1	0	0	4.0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
fd9ce066cc9ad1619bdce957d7df5e15	7200.0	1	15.0	3.0	0	0	0	0.0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
358ab8cda6cf6ed671c5eb22417700d7	72000.0	0	1.0	1.0	0	0	0	17.0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
0057d17169a2ebaf845f3d09ce4659cf	115200.0	0	11.0	1.0	0	0	0	3.0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
468e4d5543bcc26d0d69ba2efee5a7a2	1584000.0	0	20.0	1.0	0	0	1	49.0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
da15981ce073e72589cf21dd8abca7c7	7200.0	1	11.0	0.0	1	0	0	0.0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
e41c811cd3a661cfb0c026e952e0f692	720.0	1	2.0	0.0	0	0	1	224.0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
3be8c78eb2c1bf3d6d97bab65c38c019	14400.0	1	23.0	0.0	0	0	0	7.0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
81add8197986d13d0bcd2bee383c7bb5	79200.0	1	22.0	1.0	1	0	0	1.0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
2487bb2aeac5527317776912277cd6ed	86400.0	0	12.0	0.0	0	0	0	1.0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
72b6702ee956ddb837183a57653a1b81	288000.0	1	19.0	0.0	1	0	0	4.0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
a17fcc5a39e3967384466535d307d6d7	7200.0	1	13.0	0.0	1	0	1	18.0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
6cbc2eb07efdfe0826921c7ef159b775	72000.0	1	22.0	0.0	1	0	0	3.0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
99eda7c066b4aa989c1d7fe0b925732c	43200.0	0	16.0	0.0	1	0	0	3.0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
0d0311d755e21ece9ba45f38192961cd	367200.0	0	5.0	0.0	0	0	0	0.0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
80192c2fec8021e9d2e7235eed163f58	144000.0	1	13.0	0.0	0	0	0	0.0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
e72d243aae5d542b5c466c6140539133	273600.0	1	1.0	1.0	1	0	0	1.0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
67046f1331b38f486ca7290038ad039a	21600.0	1	8.0	0.0	1	0	0	0.0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
0779419a61b8e01cce331d828ed6a900	36000.0	0	5.0	0.0	1	0	0	0.0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
a460a79ad98dbcce3f229fe37a542042	324000.0	0	14.0	0.0	0	0	1	19.0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
15181f48086b72b143339ee08be5bf2f	43200.0	0	1.0	1.0	0	0	1	118.0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
7d2190800e26de728bfe05bf46b914c4	223200.0	1	17.0	0.0	1	0	1	32.0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
19132a3fdd217eb20b653314f3fcc142	36000.0	1	17.0	8.0	0	0	1	13.0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
afde3879f8c78cf1773f9b30a3a18360	36000.0	1	1.0	1.0	0	0	0	2.0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
bd622e87ec304d13487aea1d35ff9acd	108720.0	1	6.0	0.0	0	0	0	0.0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
6e58bd6f9848aebba02c4e6ae30efe2d	86400.0	0	5.0	1.0	0	0	0	1.0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
35c6c10ca1164f95ed4724c4a258974f	14400.0	1	9.0	0.0	1	0	1	16.0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
770039e41bb3598d8b430c028bd87703	756000.0	1	16.0	0.0	0	0	1	112.0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
d7a85811844cd682f69bbee137a377d6	36000.0	1	2.0	0.0	0	0	0	4.0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
06089139f925514919eef11f50557051	72000.0	1	1.0	0.0	0	0	0	1.0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
ca593697d12c8fa9a42565e708056638	136800.0	1	20.0	0.0	0	0	1	12.0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
f9ebb93082fd7bb22be9421d88fa3918	374400.0	1	12.0	1.0	0	0	1	11.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
276c0351a335db60fc8af99a75f06361	64448.352	1	13.0	0.0	1	0	0	2.0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
0601ddff55ccb2ca0bc8402ce7b26411	129600.0	1	20.0	0.0	1	0	1	13.0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
abeb9f016445df82c72ced9d1d67468d	51120.0	1	12.0	0.0	1	0	0	1.0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
c0d9890a0910f44ef0fbdc7825dc8497	72000.0	1	10.0	1.0	0	0	0	1.0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
70636aad6bb0bbe9aceb8bc047228f11	216000.0	1	1.0	0.0	0	1	0	1.0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
a73de98f84248aa5380a2173fbd1eb9d	180000.0	0	12.0	1.0	0	0	1	12.0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
34780d19e1d756feb6b014a0f0177aec	79200.0	1	11.0	1.0	0	0	1	242.0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
3774af7a6470e936fe9e925b310dcb72	129600.0	1	1.0	0.0	0	1	0	0.0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
627c3fcc93441c2a19f420f1b2b0b8b3	72000.0	0	16.0	1.0	0	0	0	2.0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
44103c8bd260440a191728fd1e3171fd	50400.0	1	12.0	0.0	1	0	0	0.0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
15c74c3c8dd3aa8b56efdb4a6dca0feb	2376000.0	1	8.0	0.0	1	0	1	327.0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
80db2a1d826c9192cb8eb5fb789ac74b	7200.0	0	1.0	1.0	0	0	1	283.0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
ae8def9330d02fa859e42a3722181101	10800.0	1	10.0	0.0	0	0	1	56.0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
d618e3ebcf240bbd4d726a156d3edc7d	43200.0	1	7.0	0.0	0	0	1	13.0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
5ec7c5dd2163ebf28bf4794355fa07fa	108000.0	1	22.0	0.0	0	0	0	0.0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
122beb657e493cdb72838f01469e8272	18000.0	1	9.0	0.0	1	0	1	261.0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
78e6d2333303a86536951dc0f7d7ec69	252000.0	0	17.0	0.0	1	0	0	1.0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
7c78a177c6c8ce3e47b38a303c3e6fed	216000.0	0	16.0	1.0	0	0	0	1.0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
e04c735da12a6c45542255ba26737092	1476000.0	1	2.0	0.0	0	0	0	3.0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
333fc0f2a185a8d06c24faf9732c7466	50400.0	1	1.0	1.0	0	0	0	0.0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
b66ec5f2edf3b16c8f1031903bb61195	72000.0	1	12.0	0.0	0	0	0	0.0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
b814ebaa63acbce025b81f220b40834a	21600.0	1	5.0	0.0	1	0	1	12.0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
3eb8957b850b3daa0b50b04f2012ffe4	432000.0	1	1.0	0.0	0	0	1	295.0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
c9fad3f97732177d5b2c8958b197fec3	43200.0	1	2.0	1.0	0	0	1	55.0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
ae6778afb1c6e7b8a879c2f2a15b5695	43200.0	1	4.0	0.0	1	0	0	0.0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
708826c6c9c44f4d9a93c0df685726e0	252000.0	1	15.0	0.0	1	0	1	106.0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
b629f5f6687d577861e47a5559902ed7	100800.0	0	1.0	1.0	1	0	0	0.0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
b6ad9d935533746c142860c235406c33	7200.0	0	2.0	2.0	0	0	0	3.0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
d6d6eb3b2fd27a7ebeaf6b4d279e889d	36000.0	1	20.0	1.0	0	0	1	75.0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
8c6bf42d7d86897064ad5ba314d035bb	453600.0	0	5.0	3.0	1	0	1	448.0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
a304e09a5d4b888eeaba218d91fba408	14400.0	1	22.0	0.0	0	0	0	7.0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
abb992f2b6d0ce3872aaac4c1f51f7b2	36000.0	0	8.0	0.0	0	0	1	288.0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
83f8d164eb70b9dc8ae61eeb8955c9c3	57600.0	1	16.0	0.0	1	0	1	54.0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
8d29d46fcea9c1cc32577ca8c57abfed	151332.768	1	13.0	0.0	1	0	0	1.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
495622ae90dc5b2d7984c117aef083d0	11520.0	0	12.0	0.0	1	0	0	0.0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
fe12a04876093180f519225bc571f780	856800.0	1	1.0	0.0	1	1	0	0.0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
6334c941951b3cc916f858d5e6ededbc	7200.0	1	17.0	0.0	0	0	1	34.0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
ead56b20ddf53da464f95f957728009e	7200.0	0	8.0	0.0	1	0	0	1.0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
42793e09df215947d89c0c15b832c0be	43200.0	0	21.0	9.0	0	0	1	62.0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
a02e4964ea0c2a7d7414c74de366aede	360000.0	1	15.0	0.0	1	0	0	5.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
dfca8c1fdcd07a8f039842231172a52d	50400.0	1	21.0	1.0	0	0	0	5.0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
f9b44aeb9091e3c1274087ccf09e3919	36000.0	0	8.0	1.0	0	0	0	1.0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ced5611fafba6fcc96a445ed35f20724	57600.0	0	6.0	0.0	0	0	1	87.0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
c9d04a83c9be83481ff6d6f1203e539c	72000.0	1	15.0	0.0	1	0	0	0.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
5bf11bfa86609a4a959370057ce6913b	14400.0	0	1.0	1.0	0	0	0	0.0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
2fbeef30051080793262082cfd55a835	60886.872	1	11.0	0.0	1	0	0	1.0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
37fc9354b0374353cfdefa08dbea1304	36000.0	0	1.0	1.0	0	1	0	0.0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
bfbbb6656c22512cce91945dca28b4dd	43200.0	1	2.0	1.0	0	0	0	0.0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
b18d17344146ad882752256cdac292cc	57600.0	1	1.0	1.0	0	0	1	277.0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
02a96c3d68070c7d4148363368090cb7	36000.0	0	7.0	1.0	0	0	0	0.0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
a3bace6c243d42ea4245615443b2cf66	345600.0	1	10.0	0.0	1	0	0	1.0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
727fbef62d4208de30725838192e968e	198000.0	1	6.0	4.0	0	0	0	1.0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
c7e15501b882ead2662043e772a3c761	57600.0	0	3.0	1.0	0	0	1	410.0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
6bb2b5f6638168b7ace8ae9d2bd87c5d	72000.0	0	13.0	1.0	0	0	0	0.0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
6610d6a45d6ad7a1fe8999e33d796247	72000.0	0	8.0	0.0	1	0	0	1.0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
b65efc94e1b95f90f7c2d2281048601f	129600.0	0	10.0	0.0	1	0	0	0.0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
dad6761b251e1a03b57ccf5e855532a0	50400.0	1	1.0	1.0	0	1	0	0.0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
5f4a4b06057363bda3527474aa8b2992	14400.0	0	13.0	0.0	0	0	0	1.0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
797649d5c1b5e7ee3e275bbd1292ceea	468000.0	1	15.0	0.0	1	0	1	113.0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
8c011c05a04a55384638b813ef50d0e9	1440000.0	1	11.0	0.0	1	0	0	0.0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
3f84d88e0a12100aa5a789381b0bc867	72000.0	1	1.0	1.0	1	0	1	139.0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
1b0d472d27ea472586ad9296aaad4322	820800.0	1	17.0	0.0	1	0	0	1.0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
cfdf39211dc8c312ad772a29428b0741	41760.0	1	3.0	0.0	1	0	0	4.0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
f401e8de9daa79951144e5040eec6eea	151200.0	1	4.0	0.0	0	0	0	5.0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
fa71eaef687a722e1fbeed19b9230873	14400.0	0	2.0	0.0	0	0	1	264.0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
f03d9ab7f87cd5a4e8c09a54b0137a4c	720.0	1	19.0	0.0	0	0	0	1.0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
b8091331f2358be94501da769b76a5d5	1771200.0	1	11.0	0.0	1	0	0	4.0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
05d5c499eb4cc1548f21724e78cbd5e7	144000.0	1	8.0	1.0	0	0	0	4.0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
7182e27a0690d32fb35d633dbb5ffd95	144000.0	0	3.0	0.0	0	0	1	76.0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
569461b8a546a964b351a859f04b2ffe	72000.0	1	16.0	1.0	0	0	0	11.0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
9536fc1891c3e9e96af8eae920630fdb	432000.0	1	1.0	1.0	1	0	0	0.0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
